driverId,driverName,eventType
14,Adis Cesir,Normal
18,Grant Liu,Normal
27,Mark Lochbihler,Normal
11,Jamie Engesser,Normal
22,Nadeem Asghar,Normal
22,Nadeem Asghar,Normal
23,Adam Diaz,Normal
11,Jamie Engesser,Normal
20,Chris Harris,Normal
32,Ryan Templeton,Normal
27,Mark Lochbihler,Normal
17,Eric Mizell,Normal
14,Adis Cesir,Normal
28,Olivier Renault,Normal
15,Rohit Bakshi,Normal
16,Tom McCuch,Normal
31,Rommel Garcia,Normal
25,Jean-Philippe Player,Normal
14,Adis Cesir,Normal
22,Nadeem Asghar,Normal
32,Ryan Templeton,Normal
24,Don Hilborn,Normal
25,Jean-Philippe Player,Normal
29,Teddy Choi,Normal
22,Nadeem Asghar,Normal
18,Grant Liu,Normal
19,Ajay Singh,Normal
26,Michael Aube,Normal
16,Tom McCuch,Normal
21,Jeff Markham,Normal
13,Joe Niemiec,Normal
19,Ajay Singh,Normal
27,Mark Lochbihler,Normal
25,Jean-Philippe Player,Normal
23,Adam Diaz,Normal
22,Nadeem Asghar,Normal
10,George Vetticaden,Normal
28,Olivier Renault,Normal
26,Michael Aube,Normal
25,Jean-Philippe Player,Normal
23,Adam Diaz,Normal
13,Joe Niemiec,Normal
27,Mark Lochbihler,Normal
28,Olivier Renault,Normal
25,Jean-Philippe Player,Normal
24,Don Hilborn,Normal
30,Dan Rice,Normal
11,Jamie Engesser,Normal
23,Adam Diaz,Normal
13,Joe Niemiec,Normal
16,Tom McCuch,Normal
15,Rohit Bakshi,Normal
12,Paul Codding,Normal
17,Eric Mizell,Normal
27,Mark Lochbihler,Normal
13,Joe Niemiec,Normal
16,Tom McCuch,Normal
23,Adam Diaz,Normal
11,Jamie Engesser,Normal
22,Nadeem Asghar,Normal
21,Jeff Markham,Normal
13,Joe Niemiec,Normal
16,Tom McCuch,Normal
17,Eric Mizell,Normal
23,Adam Diaz,Normal
32,Ryan Templeton,Normal
13,Joe Niemiec,Normal
24,Don Hilborn,Normal
16,Tom McCuch,Normal
29,Teddy Choi,Normal
11,Jamie Engesser,Normal
19,Ajay Singh,Normal
32,Ryan Templeton,Normal
30,Dan Rice,Normal
29,Teddy Choi,Normal
26,Michael Aube,Normal
28,Olivier Renault,Normal
19,Ajay Singh,Normal
21,Jeff Markham,Normal
29,Teddy Choi,Normal
30,Dan Rice,Normal
15,Rohit Bakshi,Normal
32,Ryan Templeton,Normal
19,Ajay Singh,Normal
14,Adis Cesir,Normal
26,Michael Aube,Normal
16,Tom McCuch,Normal
15,Rohit Bakshi,Normal
10,George Vetticaden,Normal
31,Rommel Garcia,Normal
29,Teddy Choi,Normal
15,Rohit Bakshi,Normal
12,Paul Codding,Normal
20,Chris Harris,Normal
31,Rommel Garcia,Normal
27,Mark Lochbihler,Normal
14,Adis Cesir,Normal
26,Michael Aube,Normal
18,Grant Liu,Normal
31,Rommel Garcia,Normal
19,Ajay Singh,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
23,Adam Diaz,Normal
12,Paul Codding,Normal
11,Jamie Engesser,Normal
28,Olivier Renault,Normal
32,Ryan Templeton,Normal
25,Jean-Philippe Player,Normal
22,Nadeem Asghar,Normal
21,Jeff Markham,Normal
28,Olivier Renault,Normal
32,Ryan Templeton,Normal
16,Tom McCuch,Normal
15,Rohit Bakshi,Normal
11,Jamie Engesser,Normal
10,George Vetticaden,Normal
32,Ryan Templeton,Normal
13,Joe Niemiec,Normal
20,Chris Harris,Normal
23,Adam Diaz,Normal
30,Dan Rice,Normal
31,Rommel Garcia,Normal
32,Ryan Templeton,Normal
13,Joe Niemiec,Normal
23,Adam Diaz,Normal
26,Michael Aube,Normal
16,Tom McCuch,Normal
32,Ryan Templeton,Normal
17,Eric Mizell,Normal
20,Chris Harris,Normal
23,Adam Diaz,Normal
15,Rohit Bakshi,Normal
29,Teddy Choi,Normal
21,Jeff Markham,Normal
28,Olivier Renault,Normal
13,Joe Niemiec,Normal
23,Adam Diaz,Normal
19,Ajay Singh,Normal
18,Grant Liu,Normal
11,Jamie Engesser,Normal
25,Jean-Philippe Player,Normal
20,Chris Harris,Normal
26,Michael Aube,Normal
16,Tom McCuch,Normal
18,Grant Liu,Normal
10,George Vetticaden,Normal
24,Don Hilborn,Normal
13,Joe Niemiec,Normal
23,Adam Diaz,Normal
21,Jeff Markham,Normal
20,Chris Harris,Normal
28,Olivier Renault,Normal
30,Dan Rice,Normal
13,Joe Niemiec,Normal
29,Teddy Choi,Normal
18,Grant Liu,Normal
28,Olivier Renault,Normal
30,Dan Rice,Normal
11,Jamie Engesser,Normal
23,Adam Diaz,Normal
15,Rohit Bakshi,Normal
16,Tom McCuch,Normal
17,Eric Mizell,Normal
10,George Vetticaden,Normal
23,Adam Diaz,Normal
13,Joe Niemiec,Normal
12,Paul Codding,Normal
19,Ajay Singh,Normal
10,George Vetticaden,Overspeed
11,Jamie Engesser,Unsafe tail distance
23,Adam Diaz,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
17,Eric Mizell,Normal
25,Jean-Philippe Player,Normal
16,Tom McCuch,Normal
11,Jamie Engesser,Normal
22,Nadeem Asghar,Normal
10,George Vetticaden,Normal
17,Eric Mizell,Normal
18,Grant Liu,Normal
32,Ryan Templeton,Normal
31,Rommel Garcia,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
18,Grant Liu,Normal
24,Don Hilborn,Normal
25,Jean-Philippe Player,Normal
15,Rohit Bakshi,Normal
10,George Vetticaden,Normal
26,Michael Aube,Normal
25,Jean-Philippe Player,Normal
24,Don Hilborn,Normal
21,Jeff Markham,Normal
27,Mark Lochbihler,Normal
26,Michael Aube,Normal
32,Ryan Templeton,Normal
24,Don Hilborn,Normal
12,Paul Codding,Normal
28,Olivier Renault,Normal
27,Mark Lochbihler,Normal
31,Rommel Garcia,Normal
19,Ajay Singh,Normal
30,Dan Rice,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
29,Teddy Choi,Normal
17,Eric Mizell,Normal
24,Don Hilborn,Normal
14,Adis Cesir,Normal
12,Paul Codding,Normal
27,Mark Lochbihler,Normal
17,Eric Mizell,Normal
31,Rommel Garcia,Normal
14,Adis Cesir,Normal
25,Jean-Philippe Player,Normal
13,Joe Niemiec,Normal
26,Michael Aube,Normal
27,Mark Lochbihler,Normal
22,Nadeem Asghar,Normal
30,Dan Rice,Normal
23,Adam Diaz,Normal
26,Michael Aube,Normal
10,George Vetticaden,Normal
24,Don Hilborn,Normal
28,Olivier Renault,Normal
32,Ryan Templeton,Normal
18,Grant Liu,Normal
26,Michael Aube,Normal
10,George Vetticaden,Normal
22,Nadeem Asghar,Normal
32,Ryan Templeton,Normal
19,Ajay Singh,Normal
21,Jeff Markham,Normal
10,George Vetticaden,Normal
11,Jamie Engesser,Normal
20,Chris Harris,Normal
14,Adis Cesir,Normal
26,Michael Aube,Normal
21,Jeff Markham,Normal
16,Tom McCuch,Normal
20,Chris Harris,Normal
17,Eric Mizell,Normal
28,Olivier Renault,Normal
27,Mark Lochbihler,Normal
21,Jeff Markham,Normal
15,Rohit Bakshi,Normal
14,Adis Cesir,Normal
22,Nadeem Asghar,Normal
26,Michael Aube,Normal
30,Dan Rice,Normal
21,Jeff Markham,Normal
16,Tom McCuch,Normal
15,Rohit Bakshi,Normal
28,Olivier Renault,Normal
30,Dan Rice,Normal
19,Ajay Singh,Normal
25,Jean-Philippe Player,Normal
29,Teddy Choi,Normal
11,Jamie Engesser,Normal
32,Ryan Templeton,Normal
20,Chris Harris,Normal
23,Adam Diaz,Normal
19,Ajay Singh,Normal
10,George Vetticaden,Normal
11,Jamie Engesser,Normal
23,Adam Diaz,Normal
21,Jeff Markham,Normal
19,Ajay Singh,Normal
25,Jean-Philippe Player,Normal
17,Eric Mizell,Normal
31,Rommel Garcia,Normal
23,Adam Diaz,Normal
18,Grant Liu,Normal
19,Ajay Singh,Normal
25,Jean-Philippe Player,Normal
17,Eric Mizell,Normal
31,Rommel Garcia,Normal
30,Dan Rice,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
29,Teddy Choi,Normal
28,Olivier Renault,Normal
14,Adis Cesir,Normal
11,Jamie Engesser,Normal
21,Jeff Markham,Normal
26,Michael Aube,Normal
29,Teddy Choi,Normal
31,Rommel Garcia,Normal
11,Jamie Engesser,Unsafe following distance
23,Adam Diaz,Normal
12,Paul Codding,Normal
28,Olivier Renault,Normal
29,Teddy Choi,Normal
15,Rohit Bakshi,Normal
22,Nadeem Asghar,Normal
23,Adam Diaz,Normal
16,Tom McCuch,Normal
32,Ryan Templeton,Normal
31,Rommel Garcia,Normal
14,Adis Cesir,Normal
22,Nadeem Asghar,Normal
27,Mark Lochbihler,Normal
28,Olivier Renault,Normal
29,Teddy Choi,Normal
32,Ryan Templeton,Normal
22,Nadeem Asghar,Normal
11,Jamie Engesser,Normal
16,Tom McCuch,Normal
24,Don Hilborn,Normal
32,Ryan Templeton,Normal
20,Chris Harris,Normal
25,Jean-Philippe Player,Normal
11,Jamie Engesser,Normal
27,Mark Lochbihler,Normal
10,George Vetticaden,Normal
22,Nadeem Asghar,Normal
15,Rohit Bakshi,Normal
25,Jean-Philippe Player,Normal
30,Dan Rice,Normal
17,Eric Mizell,Normal
10,George Vetticaden,Normal
31,Rommel Garcia,Normal
27,Mark Lochbihler,Normal
15,Rohit Bakshi,Normal
26,Michael Aube,Normal
23,Adam Diaz,Normal
24,Don Hilborn,Normal
32,Ryan Templeton,Normal
30,Dan Rice,Normal
11,Jamie Engesser,Normal
12,Paul Codding,Normal
28,Olivier Renault,Normal
10,George Vetticaden,Normal
31,Rommel Garcia,Normal
27,Mark Lochbihler,Normal
26,Michael Aube,Normal
14,Adis Cesir,Normal
24,Don Hilborn,Normal
32,Ryan Templeton,Normal
31,Rommel Garcia,Normal
18,Grant Liu,Normal
16,Tom McCuch,Normal
19,Ajay Singh,Normal
22,Nadeem Asghar,Normal
10,George Vetticaden,Normal
11,Jamie Engesser,Lane Departure
25,Jean-Philippe Player,Normal
14,Adis Cesir,Normal
28,Olivier Renault,Normal
22,Nadeem Asghar,Normal
10,George Vetticaden,Normal
